LANGUAGE,               "English",              		"Russian"

STR_HA_brif_credits,	"Credits",	"Авторы"
STR_HA_brif_createdFor,	"Created specifically for",	"Сделано специально для"
STR_HA_brif_author,	"Author %1",	"Автор %1"
STR_HA_brif_creditsText,	"<br/>By %1<br/><br/>Template version from %2 http://hg.Our-Army.su<br/><br/>Created specifically for Our-Army [USSR]<br/>www.our-army.su",	"<br/>Автор %1<br/><br/>Версия шаблона от %2 http://hg.Our-Army.su<br/><br/>Сделано для Нашей Армии [СССР]<br/>www.our-army.su"
STR_HA_brif_groups,	"Callsigns and weapons",	"Позывные и вооружение"
STR_HA_brif_groupsLeader,	"%1, leader %2",	"%1, командир %2"

STR_HA_brif_adm,	"Administration",	"Условности"
STR_HA_brif_HQ,	"Execution",	"Информация от Штаба"
STR_HA_brif_task,	"Mission",	"Задача"
STR_HA_brif_sit,	"Situation",	"Ситуация"

STR_HA_param_friz,	"Ingame brifing time",	"Брифинг в игре"
STR_HA_param_disaibleAfterFriz,	"Disaible after ingame brifing",	"Выключить после брифинга в игре"
STR_HA_param_chat,	"Text Chat",	"Текстовый чат"
STR_HA_param_grass,	"Grass layer",	"Уровень травы"
STR_HA_param_time,	"Time of day",	"Время суток"
STR_HA_param_weath,	"Weather",	"Погода"
STR_HA_param_fog,	"Fog",	"Туман"
STR_HA_param_def,	"By default",	"По умолчанию"
STR_HA_param_no,	"None",	"Нет"
STR_HA_param_vlow,	"Very low",	"Очень низкий"
STR_HA_param_low,	"Low",	"Низкий"
STR_HA_param_midl,	"Middle",	"Средний"
STR_HA_param_high,	"High",	"Сильный"
STR_HA_param_vhigh,	"Very high",	"Очень сильный"
STR_HA_param_enabl,	"Enable",	"Включен"
STR_HA_param_2min,	"2 minutes",	"2 минуты"
STR_HA_param_5min,	"5 minutes",	"5 минут"
STR_HA_param_10min,	"10 minutes",	"10 минут"
STR_HA_param_sky0,	"Сlear",	"Ясно"
STR_HA_param_sky02,	"Variable cloudiness",	"Переменная облочность"
STR_HA_param_sky05,	"Cloudiness",	"Облочно"
STR_HA_param_sky08,	"Rain",	"Дождь"
STR_HA_param_sky1,	"Storm",	"Гроза"
